Precio,Distrito,Tipo,Habitaciones,Aseos,Superficie,Planta,Parking,URL
1485000,Salamanca,Piso,3,3,180,7,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor-parking/156099691/d
263125,Vicálvaro,Piso,3,2,124,2,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/parking-jardin-terraza-trastero-zona-comunitaria-piscina/157978859/d
630000,Salamanca,Piso,2,2,78,3,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/155704894/d
379000,Salamanca,Piso,3,2,82,4,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/158160080/d
265000,Arganzuela,Piso,3,1,70,4,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor-se-aceptan-mascotas-no-amueblado/158859416/d
190000,Latina,Piso,1,1,40,1,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor-amueblado-television/158256924/d
139000,San Blas,Piso,2,1,54,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza/159376926/d
318000,Salamanca,Piso,2,1,72,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/155099850/d
267000,Salamanca,Piso,3,1,77,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-ascensor-amueblado/159103894/d
219900,Arganzuela,Piso,1,1,41,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-trastero-ascensor/158444461/d
219000,Tetuán,Piso,2,1,60,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-zona-comunitaria-ascensor/157836633/d
331000,Hortaleza,Piso,1,1,72,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-terraza-ascensor/159288082/d
177000,Arganzuela,Piso,2,1,56,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza/158610178/d
450000,Salamanca,Piso,2,1,90,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor-amueblado/159249672/d
267000,Retiro,Piso,2,1,59,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor-amueblado/156914695/d
699000,Moncloa,Piso,3,2,134,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-trastero-zona-comunitaria-ascensor-piscina-piscina/155342037/d
229000,Puente de Vallecas,Piso,3,1,68,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor/158348958/d
259000,San Blas,Piso,3,2,83,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-trastero/156789660/d
255900,Ciudad Lineal,Piso,3,2,82,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza/156551917/d
369500,Chamartín,Piso,2,1,82,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor-amueblado/159376927/d
429900,Salamanca,Piso,2,1,78,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-ascensor/159376929/d
